Condition,Brand,Model,Edition,Operating System,RAM,Memory,No. of Camera,Screen Size,Network,SIM Support,URL
Used,Apple,iPhone 16 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-used-for-sale-kandy-213
Used,Apple,iPhone 17 Pro,256GB,iOS,12 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-17-pro-256gb-used-for-sale-colombo-143
Brand New,Apple,iPhone 17 Pro,256GB,iOS,,256 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-17-pro-256gb-brand-new-for-sale-colombo-797
Brand New,Apple,iPhone 17,256GB,iOS,,256 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-17-256gb-brand-new-for-sale-colombo-908
Brand New,Apple,iPhone 16,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-brand-new-for-sale-kandy-13
Used,Apple,iPhone 14,256GB,iOS,,256 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-14-256gb-used-for-sale-kandy-63
Used,Apple,iPhone 15,128GB/256GB,iOS,6 GB,,Dual,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-15-128gb-256gb-used-for-sale-colombo-13
Used,Apple,iPhone 16 Pro Max,256 GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256-gb-used-for-sale-kandy-181
Used,Apple,iPhone 16 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-used-for-sale-kandy-214
Used,Apple,iPhone 16 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-used-for-sale-kandy-213
Used,Apple,iPhone 17 Pro,256GB,iOS,12 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-17-pro-256gb-used-for-sale-colombo-143
Brand New,Apple,iPhone 17 Pro,256GB,iOS,,256 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-17-pro-256gb-brand-new-for-sale-colombo-797
Brand New,Apple,iPhone 17,256GB,iOS,,256 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-17-256gb-brand-new-for-sale-colombo-908
Brand New,Apple,iPhone 16,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-brand-new-for-sale-kandy-13
Used,Apple,iPhone 14,256GB,iOS,,256 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-14-256gb-used-for-sale-kandy-63
Brand New,Apple,iPhone 16,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-brand-new-for-sale-kandy-12
Brand New,Apple,iPhone 17,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-17-256gb-brand-new-for-sale-colombo-907
Brand New,Apple,iPhone 16,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-brand-new-for-sale-kandy-11
Used,Apple,iPhone 14 Pro Max,256gb,iOS,8 GB,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-vavuniya-96
Used,Apple,iPhone 13 Pro,13 Pro 256GB,iOS,6 GB,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-puttalam-106
Brand New,Apple,iPhone 16,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-brand-new-for-sale-kandy-10
Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5744
Brand New,Apple,iPhone 16 Plus,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-16-plus-128gb-brand-new-for-sale-colombo-211
Used,Apple,iPhone 16 Pro,128GB,iOS,,128 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-128gb-used-for-sale-kandy-50
Used,Apple,iPhone 15 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-used-for-sale-kandy-458
Brand New,Apple,iPhone 16,256GB.,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-16-256gb-brand-new-for-sale-colombo-417
Used,Apple,iPhone 15 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-used-for-sale-kandy-457
Used,Apple,iPhone 15 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-used-for-sale-kandy-456
Brand New,Apple,iPhone 16,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-16-128gb-brand-new-for-sale-colombo-971
Used,Apple,iPhone 12 Pro Max,256GB,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-kandy-1133
